Arauca,Arauca,Colombia
Armenia,Quindio,Colombia
Barranquilla,Atlantico,Colombia
Bogota,Distrito Capital,Colombia
Bucaramanga,Santander,Colombia
Buenaventura,Valle del Cauca,Colombia
Cali,Valle del Cauca,Colombia
Cartagena,Bolivar,Colombia
Cucuta,Norte de Santander,Colombia
Florencia,Caqueta,Colombia
Ibague,Tolima,Colombia
Manizales,Caldas,Colombia
Medellin,Antioquia,Colombia
Sincelejo,Sucre,Colombia
Tulcan,Charchi,Ecuador
Tunja,Boyaca,Colombia
Valledupar,Cesar,Colombia
Villavicencio,Meta,Colombia
Yopal,Casanare,Colombia
